112;arms_factory;2672.00;10.13;1320.00;1.04;0
112;arms_factory;2673.00;10.13;1324.00;3.71;0
112;arms_factory;2670.00;9.60;1333.00;1.55;0
112;arms_factory;2675.00;10.45;1322.00;1.65;0
112;arms_factory;2671.00;9.70;1308.00;5.77;0
112;arms_factory;2669.00;9.55;1327.00;2.16;0
112;industrial_complex;2676.00;9.80;1306.00;6.28;0
112;industrial_complex;2669.00;10.00;1313.00;1.55;0
112;industrial_complex;2674.00;10.53;1328.00;4.22;0
112;industrial_complex;2673.00;9.75;1311.00;2.05;0
112;industrial_complex;2675.00;11.03;1334.00;3.26;0
112;industrial_complex;2674.00;10.32;1324.00;0.00;0
112;air_base;2668.08;9.70;1308.27;3.06;0
112;naval_base;2670.00;9.55;1334.00;-1.89;2317
112;naval_base;2664.00;9.53;1297.00;-1.25;2319
112;bunker;2664.00;9.50;1296.00;0.67;0
112;bunker;2669.00;9.85;1317.00;2.22;0
112;coastal_bunker;2663.00;9.50;1295.00;-1.25;0
112;coastal_bunker;2669.00;9.53;1330.00;-2.55;0
112;synthetic_refinery;2671.00;9.80;1331.00;4.45;0
112;nuclear_reactor;2670.00;10.13;1316.00;2.39;0
12;arms_factory;3284.00;10.80;391.00;5.21;0
12;arms_factory;3201.00;11.15;432.00;1.59;0
12;arms_factory;3174.00;10.90;416.00;4.25;0
12;arms_factory;3181.00;11.40;391.00;0.99;0
12;arms_factory;3282.00;10.98;389.00;3.66;0
12;arms_factory;3240.00;10.75;366.00;0.04;0
12;industrial_complex;3279.00;11.10;395.00;2.70;0
12;industrial_complex;3197.00;11.45;367.00;5.72;0
12;industrial_complex;3199.00;10.82;409.00;0.64;0
12;industrial_complex;3227.00;11.18;362.00;4.76;0
12;industrial_complex;3180.00;11.40;368.00;2.61;0
12;industrial_complex;3203.00;11.40;366.00;2.71;0
12;air_base;3273.00;11.13;363.00;0.55;0
12;bunker;3238.00;11.30;389.00;3.21;0
12;bunker;3168.00;10.80;419.00;4.77;0
12;bunker;3219.00;11.23;386.00;1.16;0
12;bunker;3263.00;10.80;372.00;5.28;0
12;bunker;3200.00;11.43;375.00;0.20;0
12;bunker;3284.00;10.80;391.00;3.22;0
12;bunker;3258.00;11.07;386.00;5.88;0
12;bunker;3177.00;11.57;394.00;2.26;0
12;bunker;3187.00;11.50;395.00;0.11;0
12;bunker;3194.00;10.88;410.00;1.67;0
12;bunker;3219.00;11.80;408.00;5.79;0
12;bunker;3276.00;10.88;391.00;0.71;0
12;anti_air_building;3267.00;10.80;371.00;4.83;0
12;anti_air_building;3273.00;10.78;383.00;0.11;0
12;anti_air_building;3251.00;11.25;379.00;2.78;0
12;synthetic_refinery;3190.00;11.40;396.00;5.44;0
12;radar_station;3225.00;11.25;394.00;2.84;0
12;rocket_site;3203.00;10.90;426.00;3.38;0
12;nuclear_reactor;3223.00;10.98;374.00;1.22;0
13;arms_factory;3133.00;11.80;473.00;4.25;0
13;arms_factory;3140.00;11.00;429.00;0.99;0
13;arms_factory;3145.00;11.53;452.00;3.66;0
13;arms_factory;3071.00;9.70;446.00;0.04;0
13;arms_factory;3051.00;10.05;423.00;2.70;0
13;arms_factory;3041.00;11.80;438.00;5.72;0
13;industrial_complex;3115.00;11.20;423.00;0.64;0
13;industrial_complex;3138.00;11.80;494.00;4.76;0
13;industrial_complex;3070.00;11.80;396.00;2.61;0
13;industrial_complex;3049.00;10.80;395.00;2.71;0
13;industrial_complex;3121.00;11.90;480.00;0.55;0
13;industrial_complex;3141.00;11.50;465.00;3.21;0
13;air_base;3095.00;11.00;476.00;4.77;0
13;naval_base;3047.00;9.50;422.00;-2.50;2191
13;naval_base;3041.00;9.50;421.00;1.11;2191
13;naval_base;3064.00;9.88;440.00;-2.47;2191
13;naval_base;3028.00;9.82;395.00;-2.16;2191
13;naval_base;3059.00;9.50;446.00;0.00;2191
13;naval_base;3066.00;9.50;443.00;-1.14;2191
13;naval_base;3030.00;9.57;399.00;-2.36;2191
13;bunker;3044.00;10.00;406.00;1.67;0
13;bunker;3051.00;10.55;439.00;5.79;0
13;bunker;3127.00;11.80;462.00;0.71;0
13;bunker;3106.00;12.20;480.00;4.83;0
13;bunker;3102.00;11.43;426.00;0.11;0
13;bunker;3054.00;10.03;418.00;2.78;0
13;bunker;3025.00;11.63;441.00;5.44;0
13;bunker;3077.00;11.32;431.00;2.17;0
13;bunker;3058.00;11.40;380.00;3.38;0
13;bunker;3079.00;10.00;470.00;1.22;0
13;bunker;3081.00;9.98;462.00;5.34;0
13;bunker;3070.00;9.98;453.00;5.45;0
13;bunker;3129.00;11.53;447.00;3.29;0
13;bunker;3069.00;10.40;425.00;5.95;0
13;bunker;3034.00;10.93;384.00;2.33;0
13;bunker;3127.00;11.90;499.00;3.89;0
13;bunker;3095.00;11.60;433.00;1.73;0
13;bunker;3047.00;10.80;380.00;4.40;0
13;coastal_bunker;3060.00;9.75;442.00;-2.47;0
13;coastal_bunker;3039.00;9.75;421.00;1.11;0
13;coastal_bunker;3023.00;9.85;385.00;-2.16;0
13;coastal_bunker;3057.00;9.50;446.00;0.00;0
13;coastal_bunker;3033.00;9.50;404.00;-2.36;0
13;coastal_bunker;3052.00;9.88;428.00;-2.50;0
13;coastal_bunker;3066.00;9.50;442.00;-1.14;0
