1;2047.00;9.50;1855.00;big
1;1615.00;9.50;1983.00;big
2;1965.00;9.50;913.00;big
2;1799.00;9.50;1431.00;big
3;1567.00;9.50;487.00;big
3;2010.00;9.50;540.00;big
4;2239.00;9.50;63.00;big
4;1711.00;9.50;63.00;big
5;2405.00;9.50;355.00;big
5;2159.00;9.50;283.00;big
6;2679.00;9.50;417.00;big
6;2646.00;9.50;139.00;big
7;2815.00;9.50;38.00;big
7;2623.00;9.50;15.00;big
8;2756.00;9.50;688.00;big
8;2791.00;11.45;943.00;big
9;2578.00;9.50;1306.00;big
9;2301.00;9.50;1150.00;big
10;2247.00;9.50;1871.00;big
10;2500.00;9.50;1773.00;big
11;2975.00;10.88;1951.00;big
11;2800.00;9.50;1886.00;big
12;3011.00;9.50;1704.00;big
12;3113.00;9.50;1550.00;big
13;3125.00;9.50;1431.00;big
13;3034.00;9.50;1334.00;big
14;3215.00;9.50;1295.00;big
14;3273.00;9.50;1037.00;big
15;3775.00;9.50;871.00;big
15;3516.00;9.50;802.00;big
16;3769.00;9.50;533.00;big
16;3577.00;9.50;505.00;big
17;3657.00;9.50;287.00;big
17;3775.00;9.50;103.00;big
18;3450.00;9.50;138.00;big
18;3183.00;9.50;119.00;big
19;2989.00;9.50;116.00;big
19;3057.00;10.20;179.00;big
20;3519.00;9.50;1887.00;big
20;3775.00;9.50;1999.00;big
21;3935.00;9.50;1511.00;big
21;3495.00;9.50;1631.00;big
22;3695.00;9.50;1039.00;big
22;3439.00;9.50;1264.00;big
23;2715.00;11.00;129.00;big
23;2867.00;11.90;202.00;big
24;3095.00;11.85;448.00;big
24;3058.00;11.45;336.00;big
25;3080.00;11.60;241.00;big
25;3218.00;10.05;254.00;big
26;3488.00;11.55;337.00;big
26;3343.00;11.07;302.00;big
27;3344.00;10.93;390.00;big
27;3379.00;9.63;395.00;big
28;3512.00;10.45;566.00;big
28;3380.00;9.75;585.00;big
29;2809.00;11.25;455.00;big
29;2936.00;11.93;415.00;big
30;2904.00;12.98;549.00;big
30;2885.00;13.55;640.00;big
31;2933.00;10.40;729.00;big
31;2817.00;10.07;719.00;big
32;3360.00;11.40;470.00;big
32;3237.00;11.40;431.00;big
33;3004.00;11.20;522.00;big
33;3012.00;10.75;633.00;big
34;3099.00;11.40;680.00;big
34;3133.00;11.40;569.00;big
35;3210.00;10.68;690.00;big
35;3290.00;10.43;639.00;big
36;3317.00;11.45;807.00;big
36;3282.00;10.90;879.00;big
37;3023.00;11.65;870.00;big
37;3038.00;10.25;782.00;big
38;3172.00;11.15;794.00;big
38;3124.00;11.18;873.00;big
39;3196.00;10.90;994.00;big
39;3137.00;11.90;1074.00;big
40;2969.00;11.73;993.00;big
40;3012.00;11.70;1081.00;big
41;3104.00;11.80;1148.00;big
41;3101.00;9.98;1247.00;big
42;2863.00;11.60;1112.00;big
42;3013.00;11.80;1223.00;big
43;2936.00;10.80;1307.00;big
43;2819.00;10.75;1282.00;big
44;2944.00;13.05;1552.00;big
44;2737.00;11.65;1384.00;big
45;2707.00;9.50;1540.00;big
45;2782.00;11.80;1742.00;big
46;2526.00;11.50;1703.00;big
46;2595.00;10.03;1495.00;big
47;2609.00;11.43;1030.00;big
47;2433.00;11.48;1016.00;big
48;2486.00;10.90;809.00;big
48;2484.00;11.55;625.00;big
49;2165.00;12.50;507.00;big
49;2297.00;10.80;623.00;big
50;2171.00;11.13;857.00;big
50;2329.00;10.80;889.00;big
51;895.00;9.50;1023.00;big
51;4735.00;9.50;975.00;big
